Section,TP,FP,FN,TN,Total,Accuracy,Precision,Recall,F1-Score,FPR,FNR,Specificity,Support
101,113,0,0,1387,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,113
304,53,0,0,1447,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,53
308,60,0,0,1440,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,60
310(2),97,0,0,1403,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,97
311,97,0,0,1403,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,97
312,53,0,0,1447,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,53
316(2),76,0,0,1424,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,76
318,315,0,0,1185,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,315
319,124,0,0,1376,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,124
336,96,0,0,1404,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,96
338,96,0,0,1404,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,96
340,96,0,0,1404,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,96
351,60,0,0,1440,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,60
352,26,0,0,1474,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,26
61(1),75,0,0,1425,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,75
61(2),75,0,0,1425,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,75
66,25,0,0,1475,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,25
68,18,0,0,1482,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,18
69,15,0,0,1485,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15
70(1),49,0,0,1451,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,49
70(2),25,0,0,1475,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,25
74,19,0,0,1481,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,19
78,34,0,0,1466,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,34
80,20,0,0,1480,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,20
85,151,0,0,1349,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,151
102,25,0,0,1475,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,25
305,49,0,0,1451,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,49
303(2),94,0,0,1406,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,94
137(2),97,0,0,1403,1500,1.0,1.0,1.0,1.0,0.0,0.0,1.0,97
