Section,TP,FP,FN,TN,Support,Prevalence,Accuracy,Precision,Recall,F1-Score,Specificity,FPR,FNR,NPV,MCC
101,113,0,0,1387,113,0.07533333333333334,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
304,53,0,0,1447,53,0.035333333333333335,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
308,60,0,0,1440,60,0.04,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
310(2),97,0,0,1403,97,0.06466666666666666,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
311,97,0,0,1403,97,0.06466666666666666,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
312,53,0,0,1447,53,0.035333333333333335,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
316(2),76,0,0,1424,76,0.050666666666666665,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
318,315,0,0,1185,315,0.21,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
319,124,0,0,1376,124,0.08266666666666667,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
336,96,0,0,1404,96,0.064,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
338,96,0,0,1404,96,0.064,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
340,96,0,0,1404,96,0.064,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
351,60,0,0,1440,60,0.04,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
352,26,0,0,1474,26,0.017333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
61(1),75,0,0,1425,75,0.05,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
61(2),75,0,0,1425,75,0.05,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
66,25,0,0,1475,25,0.016666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
68,18,0,0,1482,18,0.012,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
